"","venue","mean","mids","type"
"13","Metricon Stadium",0.315217391304348,-0.184782608695652,"below"
"17","Traeger Park",0.333333333333333,-0.166666666666667,"below"
"7","Gabba",0.401639344262295,-0.0983606557377049,"below"
"3","ANZ Stadium",0.407407407407407,-0.0925925925925926,"below"
"10","Mars Stadium",0.5,0,"above"
"16","TIO Stadium",0.5,0,"above"
"19","UNSW Canberra Oval",0.518518518518518,0.0185185185185185,"above"
"11","Marvel Stadium",0.521472392638037,0.0214723926380368,"above"
"1","AAMI Stadium",0.53,0.03,"above"
"12","MCG",0.565137614678899,0.0651376146788991,"above"
"8","Giants Stadium",0.569230769230769,0.0692307692307692,"above"
"20","All Venues",0.569751056834194,0.0697510568341945,"above"
"2","Adelaide Oval",0.63768115942029,0.13768115942029,"above"
"6","Domain Stadium",0.65989847715736,0.15989847715736,"above"
"15","SCG",0.663366336633663,0.163366336633663,"above"
"14","Optus Stadium",0.673469387755102,0.173469387755102,"above"
"4","Blundstone Arena",0.727272727272727,0.227272727272727,"above"
"5","Cazaly’s Stadium",0.75,0.25,"above"
"18","University of Tasmania Stadium",0.833333333333333,0.333333333333333,"above"
"9","GMHBA Stadium",0.876543209876543,0.376543209876543,"above"
