,team,mean,mids,all,type
5,Gujarat Lions,0.071428571,-0.428571429,-0.066666667,below
7,Kochi Tuskers Kerala,0.285714286,-0.214285714,-0.071428571,below
10,Pune Warriors,0.3,-0.2,-0.233333333,below
12,Rising Pune Supergiants,0.333333333,-0.166666667,0,below
4,Delhi Daredevils,0.35483871,-0.14516129,-0.104316547,below
2,Deccan Chargers,0.371428571,-0.128571429,-0.161016949,below
6,Kings XI Punjab,0.397590361,-0.102409639,-0.054140127,below
11,Rajasthan Royals,0.416666667,-0.083333333,0.019685039,below
13,Royal Challengers Bangalore,0.426666667,-0.073333333,-0.032051282,below
8,Kolkata Knight Riders,0.438356164,-0.061643836,0.04375,below
15,All Teams,0.442962963,-0.057037037,-0.057037037,below
16,Toss Winner,0.447580645,-0.052419355,-0.052419355,below
14,Sunrisers Hyderabad,0.474576271,-0.025423729,0.04368932,below
3,Delhi Capitals,0.5,0,0.125,above
1,Chennai Super Kings,0.565789474,0.065789474,0.106896552,above
9,Mumbai Indians,0.6,0.1,0.115384615,above
